episode,reward,avg10,epsilon,states,transitions
223,-250.0,-57.3,0.1635,1371,104600
224,-250.0,-68.0,0.1627,1371,105100
225,-250.0,-75.3,0.1619,1371,105600
226,-250.0,-250.0,0.1611,1371,106100
227,-250.0,-250.0,0.1603,1371,106600
228,-250.0,-250.0,0.1595,1371,107100
229,-250.0,-250.0,0.1587,1371,107600
230,-250.0,-250.0,0.1579,1371,108100
231,-250.0,-250.0,0.1571,1371,108600
232,-250.0,-250.0,0.1563,1371,109100
233,-250.0,-250.0,0.1555,1371,109600
234,-250.0,-250.0,0.1547,1371,110100
235,-250.0,-250.0,0.154,1371,110600
236,-250.0,-250.0,0.1532,1371,111100
237,-250.0,-250.0,0.1524,1371,111600
238,-250.0,-250.0,0.1517,1371,112100
239,-250.0,-250.0,0.1509,1371,112600
240,-250.0,-250.0,0.1501,1371,113100
241,-250.0,-250.0,0.1494,1371,113600
242,-250.0,-250.0,0.1486,1371,114100
243,-250.0,-250.0,0.1479,1371,114600
244,-250.0,-250.0,0.1472,1371,115100
245,-250.0,-250.0,0.1464,1371,115600
246,-250.0,-250.0,0.1457,1371,116100
247,-250.0,-250.0,0.145,1371,116600
248,-250.0,-250.0,0.1442,1371,117100
249,-250.0,-250.0,0.1435,1371,117600
250,-250.0,-250.0,0.1428,1371,118100
251,-250.0,-250.0,0.1421,1371,118600
252,-250.0,-250.0,0.1414,1371,119100
253,-250.0,-250.0,0.1407,1371,119600
254,-250.0,-250.0,0.14,1371,120100
255,-250.0,-250.0,0.1393,1371,120600
256,-250.0,-250.0,0.1386,1371,121100
257,-250.0,-250.0,0.1379,1371,121600
258,-250.0,-250.0,0.1372,1371,122100
259,-250.0,-250.0,0.1365,1371,122600
260,-250.0,-250.0,0.1358,1371,123100
261,-250.0,-250.0,0.1351,1371,123600
262,-250.0,-250.0,0.1345,1371,124100
263,-250.0,-250.0,0.1338,1371,124600
264,-250.0,-250.0,0.1331,1371,125100
265,-250.0,-250.0,0.1325,1371,125600
266,-250.0,-250.0,0.1318,1371,126100
267,-250.0,-250.0,0.1311,1371,126600
268,-250.0,-250.0,0.1305,1371,127100
269,-250.0,-250.0,0.1298,1371,127600
270,-250.0,-250.0,0.1292,1371,128100
271,-250.0,-250.0,0.1285,1371,128600
272,-250.0,-250.0,0.1279,1371,129100
273,-250.0,-250.0,0.1273,1371,129600
274,-250.0,-250.0,0.1266,1371,130100
275,-250.0,-250.0,0.126,1371,130600
276,-250.0,-250.0,0.1254,1371,131100
277,-250.0,-250.0,0.1247,1371,131600
278,-250.0,-250.0,0.1241,1371,132100
279,-250.0,-250.0,0.1235,1371,132600
280,-250.0,-250.0,0.1229,1371,133100
281,-250.0,-250.0,0.1223,1371,133600
282,-250.0,-250.0,0.1216,1371,134100
283,-250.0,-250.0,0.121,1371,134600
284,-250.0,-250.0,0.1204,1371,135100
285,-250.0,-250.0,0.1198,1371,135600
286,-250.0,-250.0,0.1192,1371,136100
287,-250.0,-250.0,0.1186,1371,136600
288,-250.0,-250.0,0.118,1371,137100
289,-250.0,-250.0,0.1174,1371,137600
290,-250.0,-250.0,0.1169,1371,138100
291,-250.0,-250.0,0.1163,1371,138600
292,-250.0,-250.0,0.1157,1371,139100
293,-250.0,-250.0,0.1151,1371,139600
294,-250.0,-250.0,0.1145,1371,140100
295,-250.0,-250.0,0.114,1371,140600
296,-250.0,-250.0,0.1134,1371,141100
297,-250.0,-250.0,0.1128,1371,141600
298,-250.0,-250.0,0.1123,1371,142100
299,-250.0,-250.0,0.1117,1371,142600
300,-250.0,-250.0,0.1111,1371,143100
301,-250.0,-250.0,0.1106,1371,143600
302,-250.0,-250.0,0.11,1371,144100
303,-250.0,-250.0,0.1095,1371,144600
304,-250.0,-250.0,0.1089,1371,145100
305,-250.0,-250.0,0.1084,1371,145600
306,-250.0,-250.0,0.1079,1371,146100
307,-250.0,-250.0,0.1073,1371,146600
308,-250.0,-250.0,0.1068,1371,147100
309,-250.0,-250.0,0.1062,1371,147600
310,-250.0,-250.0,0.1057,1371,148100
311,-250.0,-250.0,0.1052,1371,148600
312,-250.0,-250.0,0.1047,1371,149100
313,-250.0,-250.0,0.1041,1371,149600
314,-250.0,-250.0,0.1036,1371,150100
315,-250.0,-250.0,0.1031,1371,150600
316,-250.0,-250.0,0.1026,1371,151100
317,-250.0,-250.0,0.1021,1371,151600
318,-250.0,-250.0,0.1016,1371,152100
319,-250.0,-250.0,0.101,1371,152600
320,-250.0,-250.0,0.1005,1371,153100
321,-250.0,-250.0,0.1,1371,153600
322,-250.0,-250.0,0.0995,1371,154100
323,-250.0,-250.0,0.099,1371,154600
