grid_x_bucket,grid_z_bucket,visit_count
198,177,2
198,177,10
198,176,2
198,176,2
198,175,2
198,176,6
198,176,62
198,176,9
198,176,7
198,176,2
198,176,6
198,176,11
198,176,7
199,176,30
199,176,7
199,176,2
199,176,78
199,176,2
199,176,11
199,176,3764
198,176,60
199,175,295
199,175,487
199,175,40
198,175,22
198,175,9
199,176,471
199,176,887
199,176,458
199,176,37
199,176,55
199,177,711
199,177,491
199,177,1570
199,177,700
200,177,162
200,177,198
200,177,215
200,177,141
200,177,46
199,177,120
198,176,1
198,176,17
198,176,24
199,176,10
199,176,25
198,176,7
199,176,16
199,176,6
198,176,1
198,176,3
199,177,22
199,177,124
199,177,34
199,177,9
198,177,596
198,177,228
199,178,6
199,178,8
199,175,1441
198,175,1732
198,175,77
198,176,121
198,174,3281
199,174,4584
200,174,2027
200,175,389
201,174,389
201,175,155
199,173,2707
200,173,18647
198,173,32
200,172,5784
201,172,2060
201,173,1985
199,172,1847
225,136,9
225,136,3
225,135,24
226,136,13
226,136,4
227,135,15
227,135,5
227,134,7
228,135,3
228,134,3
228,134,23
229,134,3
229,134,3
230,133,10
229,133,7
229,132,11
228,131,3
229,132,8
229,132,1
229,132,1
229,132,1
229,132,3
229,132,6
229,132,4
229,132,2
229,132,1
229,132,1
229,132,1
229,133,2
229,133,1
230,134,2
230,134,2
230,134,1
205,136,7
204,136,8
204,136,5
204,136,1
204,136,1
205,136,2
205,135,2
204,135,3
204,135,1
204,135,1
204,135,3
204,135,1
204,135,3
204,135,1
204,134,1
205,133,1
205,133,2
204,133,1
204,133,9
203,132,4
203,132,1
203,132,2
203,132,2
203,132,2
202,132,1
202,132,9
202,131,1
203,131,1
204,131,4
203,131,4
202,130,11
201,130,4
201,130,4
201,131,3
201,130,4
167,142,15
168,142,6
166,141,7
166,141,19
167,141,5
167,140,16
166,139,14
165,139,286
165,138,712
166,138,638
166,137,594
167,137,171
167,138,55
165,137,47
168,137,346
165,140,163
165,139,18
165,139,71
165,138,162
166,138,148
167,138,244
166,139,9
166,137,114
165,137,30
165,140,90
167,139,57
167,139,38
167,139,3
200,152,23
200,152,11
200,152,2
200,152,3
200,152,5
200,152,6
200,152,3
200,152,11
200,152,25
200,152,2
201,151,3
201,151,16
200,151,3
200,150,11
201,151,1
201,151,6
201,151,4
201,151,4
201,151,1
201,151,2
201,151,7
201,151,2
201,151,2
201,151,7
201,151,1
201,151,1
201,151,3
201,152,2
201,151,4
202,152,6
202,152,3
202,152,1
202,152,1
201,151,39
202,151,188
202,151,16
202,151,120
202,151,1
202,150,226
204,167,9
204,167,2
203,169,5
203,170,2
203,171,1
204,170,2
203,170,6
203,170,16
203,170,8
203,170,3
204,170,1
204,170,13
204,171,15
205,171,11
205,172,23
205,172,3
205,173,11
205,173,63
205,173,40
206,173,9
206,173,4
206,172,27
224,161,30
224,161,17
223,161,5
224,161,4
223,161,13
223,160,2
223,161,4
222,161,7
222,161,1
223,160,2
223,160,2
223,160,2
223,160,1
223,160,1
224,161,5
224,161,19
224,161,6
224,161,3
225,161,1
225,161,1
224,161,6
223,161,1
224,160,2
224,159,5
223,159,2
223,159,2
223,160,3
224,160,2
224,160,1
224,160,1
224,160,1
224,160,4
224,160,5
224,160,1
223,159,1
223,159,1
223,159,2
223,159,2
223,159,2
222,159,1
222,159,1
222,159,1
222,159,10
223,159,1
223,159,2
223,159,1
223,159,4
223,159,1
223,159,2
223,159,1
223,159,3
223,159,1
222,159,4
222,159,3
222,159,6
223,159,10
222,159,47
222,159,71
222,159,49
222,159,40
222,158,6
222,158,3
222,159,4
222,159,3
222,159,1
222,159,5
221,159,2
221,159,1
221,159,2
221,159,2
223,159,220
223,159,13
223,159,23
223,159,2047
223,158,12
223,159,30
223,159,115431
168,157,6
169,157,6
169,157,1
169,157,5
169,157,3
169,157,1
168,157,1
168,157,3
168,156,1
168,156,2
168,156,2
168,156,2
168,156,1
168,156,1
168,157,1
168,156,4
169,156,8
169,156,16
168,157,7
169,157,1
168,156,16
167,157,4
167,155,9
167,156,2
166,156,1
166,157,2
166,157,7
167,158,8
166,158,14
166,158,3
166,157,4
166,157,5
166,157,2
166,157,1
166,158,1
166,158,1
167,158,7
166,157,1
166,157,3
167,157,1
168,156,1
168,156,1
168,156,1
167,155,1
167,157,3
166,157,2
166,157,1
166,157,3
166,157,1
167,157,2
166,157,1
166,157,3
166,157,4
166,157,5
166,157,4
166,157,5
