Country,OrgSize,DevType,AISelect,YearsCode,YearsCodePro,CodingActivities,ConvertedCompYearly
USA,medium_size,back_end,no,high,medium,no_code_as_hobby,very_high
USA,medium_size,full_stack,plan_to,high,medium,codes_as_hobby,high
USA,medium_size,full_stack,no,high,medium,codes_as_hobby,low
USA,medium_size,back_end,no,high,medium,codes_as_hobby,very_high
USA,medium_size,embedded,yes,high,medium,codes_as_hobby,low
USA,medium_size,full_stack,yes,high,medium,codes_as_hobby,medium
USA,medium_size,full_stack,plan_to,high,medium,codes_as_hobby,high
USA,medium_size,back_end,yes,high,medium,codes_as_hobby,medium
USA,medium_size,full_stack,no,high,medium,codes_as_hobby,very_high
USA,medium_size,full_stack,plan_to,high,medium,codes_as_hobby,low
USA,medium_size,back_end,yes,high,medium,codes_as_hobby,high
USA,medium_size,embedded,no,high,medium,no_code_as_hobby,medium
USA,medium_size,back_end,no,high,medium,no_code_as_hobby,very_high
USA,medium_size,qa,yes,high,medium,codes_as_hobby,high
USA,medium_size,experience,no,high,medium,codes_as_hobby,very_high
USA,medium_size,back_end,no,high,medium,no_code_as_hobby,very_high
USA,medium_size,full_stack,yes,high,medium,codes_as_hobby,high
USA,medium_size,full_stack,plan_to,high,medium,codes_as_hobby,low
USA,medium_size,applications,no,high,medium,codes_as_hobby,low
USA,medium_size,full_stack,no,high,medium,codes_as_hobby,low
USA,medium_size,back_end,no,high,medium,no_code_as_hobby,high
